[0.010s] Invoking command in '/home/easz/Ros2-R2/build/r6_d9': /usr/bin/cmake --build /home/easz/Ros2-R2/build/r6_d9 -- -j4 -l4
[0.043s] Invoked command in '/home/easz/Ros2-R2/build/r6_d9' returned '0': /usr/bin/cmake --build /home/easz/Ros2-R2/build/r6_d9 -- -j4 -l4
[0.066s] Invoking command in '/home/easz/Ros2-R2/build/r6_d9': /usr/bin/cmake --install /home/easz/Ros2-R2/build/r6_d9
[0.072s] -- Install configuration: ""
[0.073s] -- Execute custom install script
[0.074s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/launch/launch_robot.launch.py
[0.075s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/launch/launch_sim.launch.py
[0.076s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/launch/rsp.launch.py
[0.077s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/config/gaz_ros2_ctl_use_sim.yaml
[0.077s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/config/gazebo__params.yaml
[0.078s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/config/main.rviz
[0.079s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/config/mapper_params_online_async.yaml
[0.080s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/config/my_controllers.yaml
[0.081s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/description/gazebo_control.xacro
[0.082s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/description/inertial_macros.xacro
[0.083s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/description/lidar.xacro
[0.083s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/description/robot.urdf.xacro
[0.084s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/description/robot_core.xacro
[0.085s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/description/ros2_control.xacro
[0.086s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/ament_index/resource_index/package_run_dependencies/r6_d9
[0.087s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/ament_index/resource_index/parent_prefix_path/r6_d9
[0.088s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/environment/ament_prefix_path.sh
[0.089s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/environment/ament_prefix_path.dsv
[0.090s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/environment/path.sh
[0.090s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/environment/path.dsv
[0.091s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/local_setup.bash
[0.092s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/local_setup.sh
[0.093s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/local_setup.zsh
[0.094s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/local_setup.dsv
[0.095s] -- Symlinking: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/package.dsv
[0.103s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/ament_index/resource_index/packages/r6_d9
[0.103s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/cmake/r6_d9Config.cmake
[0.104s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/cmake/r6_d9Config-version.cmake
[0.105s] -- Up-to-date symlink: /home/easz/Ros2-R2/install/r6_d9/share/r6_d9/package.xml
[0.108s] Invoked command in '/home/easz/Ros2-R2/build/r6_d9' returned '0': /usr/bin/cmake --install /home/easz/Ros2-R2/build/r6_d9
